position,location,school,height,weight,fourty,stars,rating,rank,institution,name,year
wr,"Scottsdale, Arizona",Chaparral,65,171,4.7,0,,,Holy Cross,Zachary Buzzard,2012
db,"Tucson, Arizona",Sabino,78,175,,0,,,Princeton,Andrew Frisby,2012
rb,"Mesa, Arizona",Desert Ridge,65,200,,0,,,Montana,Joey Counts,2012
db,"Miami, Florida",Southridge,65,175,,2,5.4,,Hawaii,Ne'Quan Phillips,2012
ath,"Richmond, Virginia",Varina,78,160,4.6,3,5.5,,Virginia,Maurice Canady,2012
ol,"Richmond, Virginia",Varina,78,300,,3,5.5,,Virginia,Tyrell Chavis,2012
lb,"Erie, Pennsylvania",Cathedral Prep School,78,200,,0,,,Robert Morris,Kimani Smith,2012
db,"Amite, Louisiana",Oak Forest Academy,65,175,,0,,,Southeastern Louisiana,Josh Byars,2012
qb,"Central, Louisiana",Central,78,193,,0,,,Southeastern Louisiana,Cole LeBlanc,2012
qb,"Hammond, Louisiana",Hammond,78,215,,0,,,Southeastern Louisiana,Austin Miller,2012
wr,"Tyler, Texas",John Tyler,78,178,4.5,3,5.5,,Air Force,Devonte Haggerty,2012
db,"Los Angeles, California",Lynwood,78,165,,3,5.5,,Eastern Washington,Diamonte Wiggins,2012
ol,"Scottsdale, Arizona",Chaparral,78,260,5.2,0,,,San Diego,Pete Greene,2012
ol,"Cisco, Texas",Cisco C.C.,78,320,,0,,,Southeastern Louisiana,Jeremy Polk,2012
dt,"Walnut, California",Mt. San Antonio C.C.,78,280,,0,,,Southeastern Louisiana,Craig Payne,2012
ol,"Riverside, California",Riverside C.C.,78,340,,2,5.4,,Southeastern Louisiana,John O'Brien,2012
db,"Brooklyn, New York",ASA College,78,205,,0,,,Southeastern Louisiana,Tiray Dove,2012
wr,"Garden City, Kansas",Garden City C.C.,78,215,,0,,,Southeastern Louisiana,Jerry Anderson,2012
db,"Fort Dodge, Iowa",Iowa Central C.C.,65,180,,0,,,Savannah State,Somali Smith,2012
db,"New York, New York",Globe Tech,78,175,,0,,,Savannah State,Javon Moore,2012
ol,"Milledgeville, Georgia",Georgia Military College,78,300,,0,,,Savannah State,Caleb Freeman,2012
db,"New York, New York",Globe Tech,65,180,,0,,,Charleston Southern,Elijah Lee,2012
db,"Milledgeville, Georgia",Georgia Military College,65,180,,0,,,Charleston Southern,Damian Dixon,2012
de,"Culver City, California",West Los Angeles C.C.,78,240,4.8,2,5.4,,Prairie View A&M,Darrien Patterson,2012
wr,"Culver City, California",West Los Angeles C.C.,78,185,4.4,0,,,Prairie View A&M,Donald Drisdom,2012
db,"San Pablo, California",Contra Costa C.C.,65,195,,0,,,Prairie View A&M,Malcolm Ajayi,2012
ol,"Raymond, Mississippi",Hinds C.C.,78,315,,0,,,Mississippi Valley State,Justin Barner,2012
db,"Senatobia, Mississippi",Northwest Mississippi C.C.,65,185,,0,,,Mississippi Valley State,Jaterio Merritt,2012
ol,"Bottineau, North Dakota",Bottineau,78,310,,0,,,Mississippi Valley State,Paul Holliday,2012
db,"Cloquet, Minnesota",Fond Du Lac Ojibwe,65,160,,0,,,Mississippi Valley State,Kevin Eugene,2012
rb,"Goodman, Mississippi",Holmes C.C.,65,190,,0,,,Mississippi Valley State,Cortez Frizell,2012
db,"Milledgeville, Georgia",Georgia Military College,78,185,,0,,,Arkansas-Pine Bluff,David Watson,2012
de,"Milledgeville, Georgia",Georgia Military College,78,235,,0,,,Arkansas-Pine Bluff,Anthony Smith,2012
wr,"Thatcher, Arizona",Eastern Arizona J.C.,65,185,,0,,,Arkansas-Pine Bluff,Jonathan Johnson,2012
ol,"Roswell, New Mexico",New Mexico Military Institute,78,285,,0,,,Alabama A&M,Winston Hunt,2012
de,"Poplarville, Mississippi",Pearl River C.C.,78,230,,0,,,Alabama A&M,Reginald Bailey,2012
ol,"Scooba, Mississippi",East Mississippi C.C.,78,300,,0,,,Northwestern State,Warren Jones,2012
ath,"Athens, Texas",Trinity Valley C.C.,78,245,,0,,,Northwestern State,Kevin Garza,2012
de,"Grand Rapids, Michigan",Grand Rapids C.C.,78,260,,0,,,Austin Peay,Malcolm Goines,2012
dt,"Santa Monica, California",Santa Monica C.C.,78,280,,0,,,Tennessee Tech,Karl Buchanan,2012
de,"Merced, California",Merced C.C.,78,250,,0,,,Tennessee State,Marquaveus Jackson,2012
ol,"Iowa Falls, Iowa",Ellsworth C.C.,78,295,,2,5.3,,Tennessee State,Demetrius Rhaney,2012
qb,"Flower Mound, Texas",Flower Mound,78,195,4.7,0,,,Stephen F. Austin,Marshall Williams,2012
rb,"Lufkin, Texas",Lufkin,65,170,,3,5.5,,Stephen F. Austin,Jamarcus Walker,2012
qb,"Whitehouse, Texas",Whitehouse,78,170,,0,,,Stephen F. Austin,Hunter Taylor,2012
ol,"Lindale, Texas",Lindale,78,280,,0,,,Stephen F. Austin,Sam Schomp,2012
lb,"Killeen, Texas",Killeen,78,180,4.6,0,,,Stephen F. Austin,Artez Price,2012
qb,"Decatur, Texas",Decatur,78,200,,0,,,Stephen F. Austin,Garrett Muehlstein,2012
ol,"Grand Prairie, Texas",South Grand Prairie,78,270,,0,,,Stephen F. Austin,Travis Wiggins,2012
db,"Longview, Texas",Longview,78,190,,0,,,Stephen F. Austin,Jordan Burton,2012
wr,"Henderson, Texas",Henderson,65,170,4.6,0,,,Stephen F. Austin,LaMarcus Brown,2012
ol,"Sachse, Texas",Sachse,78,265,5.0,0,,,Sam Houston State,Shane Weeks,2012
lb,"Dallas, Texas",Skyline,65,210,,0,,,Sam Houston State,Nigel Robertson,2012
ol,"Corsicana, Texas",Corsicana,78,257,4.9,0,,,Sam Houston State,Roclan Drain,2012
db,"Pearland, Texas",Dawson,65,180,4.5,0,,,Sam Houston State,Jarell Crenshaw,2012
qb,"Waxahachie, Texas",Waxahachie,78,200,4.6,2,5.3,,Sam Houston State,Don King III,2012
db,"Brenham, Texas",Blinn C.C.,78,203,4.5,0,,,Lamar,Nahshon Davis,2012
