stadium,city,state,team,conference,capacity,record,built,expanded,place_gid,statefp,placefp,alt,name,lon,lat,nickname,first_played,joined_fbs,pop_est_2013,seats_per_100
Nippert Stadium,Cincinnati,OH,Cincinnati,American,35097,36007,1924,2005,18785,39,15000,,Cincinnati,-84.51619197845808,39.131222137389955,Bearcats,1885,,297517,11.8
Ohio Stadium,Columbus,OH,Ohio State,Big Ten,102329,106102,1922,2001,25201,39,18000,,Columbus,-83.01972564119535,40.00164976668552,Buckeyes,1889,,822553,12.4
Dix Stadium,Kent,OH,Kent State,MAC,25000,27363,1969,2008,25320,39,39872,,Kent,-81.31342621615597,41.139091182082296,Golden Flashes,1920,,32345,77.3
Yager Stadium,Oxford,OH,Miami (OH),MAC,24286,30087,1983,2005,18847,39,59234,Miami (OH),Oxford,-84.73291929522202,39.519521172936436,RedHawks,1888,,21470,113.1
Glass Bowl,Toledo,OH,Toledo,MAC,26248,36852,1937,1990,19044,39,77000,,Toledo,-83.61357824377674,41.657287758890675,Rockets,1917,,282313,9.3
Gaylord Family Oklahoma Memorial Stadium,Norman,OK,Oklahoma,Big 12,82112,86031,1925,2003,5596,40,52500,,Norman,-97.44231033874628,35.205841219098076,Sooners,1895,,118197,69.5
Boone Pickens Stadium,Stillwater,OK,Oklahoma State,Big 12,60218,59061,1920,2005,19283,40,70300,,Stillwater,-97.06647704367862,36.125689800659245,Cowboys,1901,,47186,127.6
H. A. Chapman Stadium,Tulsa,OK,Tulsa,C-USA,35542,47350,1930,2005,19211,40,75000,,Tulsa,-95.94380255680088,36.14887970980129,Golden Hurricane,1895,,398121,8.9
Reser Stadium,Corvallis,OR,Oregon State,Pac-12,45674,46469,1953,2005,2194,41,15800,,Corvallis,-123.28139838893854,44.55952174817267,Beavers,1893,,55298,82.6
Autzen Stadium,Eugene,OR,Oregon,Pac-12,54000,60055,1967,2002,2185,41,23850,,Eugene,-123.06851190868215,44.05827039217942,Ducks,1894,,159190,33.9
Lincoln Financial Field,Philadelphia,PA,Temple,American,68532,69029,2003,,26900,42,60000,,Philadelphia,-75.16746479620976,39.90077092700315,Owls,1894,,1553165,4.4
Heinz Field,Pittsburgh,PA,Pittsburgh,ACC,65050,66731,2001,,26136,42,61000,,Pittsburgh,-80.01576065789081,40.44677630302442,Panthers,1890,,305841,21.3
Beaver Stadium,University Park,PA,Penn State,Big Ten,106572,110753,1960,2001,26898,42,73808,,State College,-77.85612239751777,40.81221328871044,Nittany Lions,1881,,41757,255.2
Memorial Stadium,Clemson,SC,Clemson,ACC,81500,86092,1942,2006,9296,45,14950,,Clemson,-82.84318521323758,34.67873323369898,Tigers,1896,,14276,570.9
Williams-Brice Stadium,Columbia,SC,South Carolina,SEC,80250,85199,1934,1996,9373,45,16000,,Columbia,-81.01916154421083,33.97304562459337,Gamecocks,1892,,133358,60.2
Neyland Stadium,Knoxville,TN,Tennessee,SEC,102455,109061,1921,2009,27773,47,40000,,Knoxville,-83.925581,35.9547814,Volunteers,1891,,183270,55.9
Liberty Bowl Memorial Stadium,Memphis,TN,Memphis,American,62380,65885,1965,1987,5981,47,48000,,Memphis,-89.97743606871472,35.121083108863985,Tigers,1912,,653450,9.5
"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Middle Tennessee,C-USA,31000,30502,1933,1998,20046,47,51560,Middle Tennessee State,Murfreesboro,-86.36816445051973,35.85115222511715,Blue Raiders,1911,1999,117044,26.5
Vanderbilt Stadium,Nashville,TN,Vanderbilt,SEC,39790,41448,1922,2004,19900,47,52006,,Nashville-Davidson metropolitan government (balance),-86.80891396295563,36.14402673602672,Commodores,1890,,634464,6.3
Darrell K Royal–Texas Memorial Stadium,Austin,TX,Texas,Big 12,100119,101851,1924,2009,6703,48,05000,,Austin,-97.73253328083135,30.283667377455828,Longhorns,1893,,885400,11.3
Kyle Field,College Station,TX,Texas A&M,SEC,106511,104728,1927,2014,6132,48,15976,,College Station,-96.340172,30.610197,Aggies,1894,,100050,106.5
Apogee Stadium,Denton,TX,North Texas,C-USA,30850,28075,2011,,6948,48,19972,,Denton,-97.15917234691815,33.20394047833278,Mean Green,1913,1995,123099,25.1
Sun Bowl Stadium,El Paso,TX,UTEP,C-USA,51500,53415,1963,1981,6776,48,24000,,El Paso,-106.50794961009869,31.773350619966052,Miners,1914,,674433,7.6
Amon G. Carter Stadium,Fort Worth,TX,TCU,Big 12,45000,50307,1929,2012,6595,48,27000,,Fort Worth,-97.36809151276901,32.709639993467746,Horned Frogs,1896,,792727,5.7
Rice Stadium,Houston,TX,Rice,C-USA,47000,73000,1950,,6453,48,35000,,Houston,-95.40931593317273,29.716335257999205,Owls,1912,,2195914,2.1
TDECU Stadium,Houston,TX,Houston,American,40000,40755,2014,,6453,48,35000,,Houston,-95.349167,29.721944,Cougars,1946,,2195914,1.8
Jones AT&T Stadium,Lubbock,TX,Texas Tech,Big 12,60862,60879,1947,2013,6691,48,45000,,Lubbock,-101.87292043088243,33.59107354894343,Red Raiders,1925,,239538,25.4
Alamodome,San Antonio,TX,UTSA,C-USA,65000,56743,1993,,6187,48,65000,Texas-San Antonio,San Antonio,-98.47871589655283,29.416826477451423,Roadrunners,2011,2012,1409019,4.6
Bobcat Stadium,San Marcos,TX,Texas State,Sun Belt,30000,33006,1981,2012,6883,48,65600,,San Marcos,-97.9255803,29.8909884,Bobcats,1904,2012,54076,55.5
Gerald J. Ford Stadium,University Park,TX,SMU,American,32000,35481,2000,,6409,48,74492,Southern Methodist,University Park,-96.78276031895976,32.83775283189661,Mustangs,1915,,23992,133.4
Floyd Casey Stadium,Waco,TX,Baylor,Big 12,50000,51385,1950,2002,6578,48,76000,,Waco,-97.14843036945216,31.530256114999844,Bears,1899,,129030,38.8
Romney Stadium,Logan,UT,Utah State,Mountain West,25513,33119,1968,1980,20232,49,45860,,Logan,-111.81162274458214,41.751738522679034,Aggies,1892,,48913,52.2
LaVell Edwards Stadium,Provo,UT,BYU,Independent,63725,66247,1964,1982,20327,49,62470,Brigham Young,Provo,-111.65452929930305,40.257541917958406,Cougars,1921,,116288,54.8
Rice-Eccles Stadium,Salt Lake City,UT,Utah,Pac-12,45017,46768,1998,1998,20203,49,67000,,Salt Lake City,-111.8489248,40.7597551,Utes,1892,,191180,23.5
Lane Stadium,Blacksburg,VA,Virginia Tech,ACC,66233,66233,1965,2005,28137,51,07784,,Blacksburg,-80.41803878237648,37.22000193486336,Hokies,1892,,43609,151.9
Scott Stadium,Charlottesville,VA,Virginia,ACC,61500,64947,1931,2000,27958,51,14968,,Charlottesville,-78.5136741891846,38.03107041062373,Cavaliers,1888,,44349,138.7
Martin Stadium,Pullman,WA,Washington State,Pac-12,32248,40306,1972,2000,2549,53,56625,,Pullman,-117.16048222576157,46.731823570308876,Cougars,1893,,31395,102.7
Husky Stadium,Seattle,WA,Washington,Pac-12,70138,76125,1920,1987,2639,53,63000,,Seattle,-122.30161135228019,47.65028638412491,Huskies,1889,,652405,10.8
Joan C. Edwards Stadium,Huntington,WV,Marshall,C-USA,38019,41382,1991,2000,28681,54,39460,,Huntington,-82.4209313464724,38.42493189715876,Thundering Herd,1895,1997,49177,77.3
Milan Puskar Stadium,Morgantown,WV,West Virginia,Big 12,60000,70222,1980,2004,28584,54,55756,,Morgantown,-79.95506851706088,39.65019187629241,Mountaineers,1891,,30666,195.7
Camp Randall Stadium,Madison,WI,Wisconsin,Big Ten,80321,83184,1917,2005,20720,55,48000,,Madison,-89.41269291409627,43.06995084320934,Badgers,1889,,243344,33.0
War Memorial Stadium,Laramie,WY,Wyoming,Mountain West,29181,34745,1950,2010,21215,56,45050,,Laramie,-105.56828909299365,41.3116902799955,Cowboys,1893,,31814,91.7
